NATUREZA,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-INGLES,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id
"Doutorado","Estudo sobre Processamento Maciçamente Paralelo na Internet","2003","Brasil","Português","","","",0
"Doutorado","Projeto de Controladores Ótimos para Gerenciamento Ativo de Filas","2005","Brasil","Português","","","",1
"Doutorado","Qualidade de Serviço de Detectores de Defeitos na Presença de Rajadas de Perdas de Mensagens","2006","Brasil","Português","","","",2
"Doutorado","Uma Abordagem Baseada em Características para o Estabelecimentos de Contratos Eletrônicos para Serviços WEB","2007","Brasil","Português","","","",3
"Doutorado","CoGPlat: Um Middleware para Serviços de Governo Eletrônico Centrados no Cidadão","2008","Brasil","Português","","","",4
"Doutorado","Protocolos Mullticoordenados de Acordo e Serviço de Log","2008","Brasil","Português","","","",5
"Doutorado","Serviços de Transação Abertos para Ambientes Dinâmicos","2008","Brasil","Português","","","",6
"Doutorado","Escalonadores de Tarefas Dependentes para Grades Robustos às Incertezas das Informações de Entrada","2010","Brasil","Português","","","",7
"Doutorado","Objetos Complexos em Bibliotecas Digitais: Analisando o Gerenciamento de Componentes de Imagens","2011","Brasil","Português","","","",8
"Doutorado","Terra incognita: liberdade, espoliação. O software livre entre técnicas de apropriação e estratégias de liberdade.","2013","Brasil","Português","","","",9
"Doutorado","Uma Abordagem Cognitiva para Auto-Configuração de Protocolos de Comunicação","2013","Brasil","Português","","","",10
"Doutorado","Uma Arquitetura para Gerência de Mobilidade Cognitiva em Redes sem Fio Heterogêneas","2013","Brasil","Português","","","",11
"Doutorado","Uma Arquitetura de Gerência de Mobilidade para Redes Veiculares","2013","Brasil","Português","","","",12
"Doutorado","CEO - Uma Infraestrutura para Orquestração de Workflows de Serviços em Ambientes Computacionais Híbridos","2014","Brasil","Português","","","",13
"Doutorado","Promovendo a Interoperabilidade de Planilhas a partir do Reconhecimento de Signos","2014","Brasil","Português","","","",14
"Doutorado","Mecanismos para Gerenciamento de SLA em Redes Virtuais Definidas por Software baseados em Classes de QoS","2015","Brasil","Português","","","",15
"Doutorado","The role of synchrony on the performance of Paxos","2017","Brasil","Português","","","",16
