TITULO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-INGLES,RELATORIO-DE-PESQUISA_Id
"Seamless Paxos Coordinators","2010","Brasil","Inglês","NAO_INFORMADO","","NAO","","",0
"The Search for a Highly-Available Hadoop Distributed Filesystem","2010","Brasil","Inglês","MEIO_DIGITAL","","NAO","","",1
"Checkpointing using local knowledge about recovery lines","1999","Brasil","Português","MEIO_DIGITAL","","NAO","","",2
"Monitoração e recuperação por retrocesso utilizando visões progrssivas de computações distribuídas","1999","Brasil","Português","MEIO_DIGITAL","","NAO","","",3
"Asynchronous construction of consistent global snapshots in the object and action model","1998","Brasil","Português","MEIO_DIGITAL","","NAO","","",4
"The reflexive architecture of Guaraná","1998","Brasil","Português","NAO_INFORMADO","","NAO","","",5
"Progressive construction of consistent global checkpoints","1998","Brasil","Inglês","MEIO_DIGITAL","","NAO","","",6
