TRABALHO-TECNICO_Id,SEQUENCIA-PRODUCAO,PRODUCAO-TECNICA_Id
0,"141",0
1,"142",0
2,"143",0
3,"144",0
4,"145",0
5,"146",0
6,"148",0
7,"149",0
8,"150",0
9,"151",0
10,"147",0
