TITULO-DO-PERIODICO-OU-REVISTA,ISSN,VOLUME,FASCICULO,SERIE,PAGINA-INICIAL,PAGINA-FINAL,LOCAL-DE-PUBLICACAO,ARTIGO-PUBLICADO_Id
"Revista Brasileira de Informática na Educação","14145685","","1","","71","80","",0
"Journal of the Brazilian Computer Society (Impresso)","01046500","19","","","1","18","",1
"Cluster Computing","13867857","16","","","1","11","",2
