RELATORIO-DE-PESQUISA_Id,SEQUENCIA-PRODUCAO,DEMAIS-TIPOS-DE-PRODUCAO-TECNICA_Id
0,"74",0
1,"75",0
2,"76",0
3,"77",0
4,"79",0
5,"80",0
6,"78",0
