PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,SEQUENCIA-PRODUCAO,PARTICIPACAO-EM-BANCA-TRABALHOS-CONCLUSAO_Id
0,"23",0
1,"34",0
2,"41",0
3,"46",0
4,"47",0
5,"48",0
6,"49",0
7,"66",0
8,"87",0
9,"100",0
10,"101",0
11,"102",0
12,"111",0
13,"115",0
14,"116",0
15,"120",0
16,"137",0
