SEQUENCIA-LINHA,TITULO-DA-LINHA-DE-PESQUISA,FLAG-LINHA-DE-PESQUISA-ATIVA,OBJETIVOS-LINHA-DE-PESQUISA,TITULO-DA-LINHA-DE-PESQUISA-INGLES,OBJETIVOS-LINHA-DE-PESQUISA-INGLES,PESQUISA-E-DESENVOLVIMENTO_Id
"2","Sistemas distribuídos","NAO","","","",0
"3","Algoritmos distribuídos","NAO","","","",0
"5","Sistemas operacionais","NAO","","","",0
"6","Software Livre","NAO","","","",0
