NATUREZA,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-INGLES,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id
"Concurso público","Concurso Público de Provas e Títulos para Professor Adjunto-DE para o Campus de Sorocaba","2008","Brasil","Português","","","",0
"Concurso público","Concurso Púbilco para Ingresso na Carreira do Magistério Superior na Classe de Professor Assistente - FACOM","2012","Brasil","Português","","","",1
"Concurso público","Concurso Púbilco para Ingresso na Carreira do Magistério Superior no campo Arquitetura de Sistemas de Computação, Joinville","2013","Brasil","Português","","","",2
"Concurso público","Concurso Público de Provas e Títulos para Professores Efetivos. Área do conhecimento: desenvolvimento para Software Livre, Redes de Computadores e Sistemas Operacionais","2013","Brasil","Português","","","",3
