SEQUENCIA-ESPECIFICACAO,DISCIPLINA_Text,ENSINO_Id
"1","MC039 - Seminários sobre Computação e Tecnologia",0
"2","MC102 - Algoritmos e programação de computadores",0
"3","MC202 - Estruturas de Dados",0
"4","MC514 - Sistemas Operacionais: Teoria e Prática",0
"5","MC714 - Sistemas Distribuídos",0
"6","MC715 - Laboratório de sistemas distribuídos",0
"7","MC914 - Tópicos em Sistemas Operacionais",0
"1","MC039 - Serminários sobre Computação e Tecnologia",1
"2","MC504 - Sistemas Operacionais",1
"3","MC714 - Sistemas Distribuídos",1
"4","MC715 - Laboratório de Sistemas Distribuídos",1
"5","MC855 - Projeto em Sistemas de Computação",1
"6","MC914 - Tópicos em Sistemas Operacionais",1
"7","MC964 - Tópicos em Computação Distribuída",1
"1","MO806 - Tópicos em sistemas operacionais",2
"2","MO809 - Tópicos em computação distribuída",2
"3","MO901 - Seminários em Computação",2
