CLASSIFICACAO-DO-EVENTO,NOME-DO-EVENTO,CIDADE-DO-EVENTO,ANO-DE-REALIZACAO,TITULO-DOS-ANAIS-OU-PROCEEDINGS,VOLUME,FASCICULO,SERIE,PAGINA-INICIAL,PAGINA-FINAL,ISBN,NOME-DA-EDITORA,CIDADE-DA-EDITORA,NOME-DO-EVENTO-INGLES,TRABALHO-EM-EVENTOS_Id
"NACIONAL","Simpósio Brasileiro de Computação Gráfica e Processamento de Imagens","São Carlos","1995","Anais do Simpósio Brasileiro de Computação Gráfica e Processamento de Imagens","","","","","","","","","",0
"INTERNACIONAL","V Congreso Iberoamericano de Educacion Superior en","Cidade do México","1996","V Congreso Iberoamericano de Educacion Superior en
Computacion","","","","291","299","","","","",1
"INTERNACIONAL","4th International
4th International Conference on Configurable Distributed Systems","Annapolis, Maryland,","1998","Proceedings of the 4th International
Proceedings of the 4th International Conference on Configurable Distributed Systems","","","","215","223","","IEEE","","",2
"NACIONAL","II Workshop em Sistemas Distribuídos","Curitiba, Paraná","1998","Anais do II Workshop em Sistemas Distribuídos","","","","","","","","","",3
"REGIONAL","III Escola Regional da SBC-Reg. São Paulo","Piracicaba","1998","Anais da III Escola Regional da SBC-Reg. São Paulo","","","","117","141","","","","",4
"INTERNACIONAL","19th IEEE International Conference on Distributed Computing Systems","Austin, Texas","1999","Proceedings of the 19th IEEE International Conference on Distributed Computing Systems","","","","55","62","","","","",5
"NACIONAL","VIII Simpósio de Computação Tolerante a Falhas","Campinas, SP","1999","Anais do VIII Simpósio de Computação Tolerante a Falhas","","","","","","","","","",6
"INTERNACIONAL","21th IEEE International Conference on Distributed Computing Systems","Phoenix, Arizona","2001","Proceedings of the 21th IEEE International Conference on Distributed Computing Systems","","","","342","349","","","","",7
"NACIONAL","Simpósio Brasileiro de Redes de Computadores","Florianópolis, Santa Catarina","2001","Anais do Simpósio Brasileiro de Redes de Computadores","","","","","","","","","",8
"NACIONAL","IX Simpósio de Computação Tolerante a Falhas","Florianópolis, Santa Catarina","2001","Anais do IX Simpósio de Computação Tolerante a Falhas","","","","","","","","","",9
"NACIONAL","XV Concurso de Teses e Dissertações","Florianópolis, Santa Catarina","2002","Anais do XXII Congresso da Sociedade Brasileira de Computação","3","","","91","98","","","","",10
"NACIONAL","III Workshop de Testes e Tolerância a Falhas","Búzios, Rio de Janeiro","2002","Anais do III Workshop de Testes e Tolerância a Falhas","","","","77","80","","","","",11
"NACIONAL","IV Workshop de Comunicação Sem Fio e Computação Móvel","São Paulo","2002","IV Workshop de Comunicação Sem Fio e Computação Móvel","","","","27","35","","","","",12
"NACIONAL","21 Simpósio Brasileiro de Redes de Computadores","Natal","2003","21 Simpósio Brasileiro de Redes de Computadores","","","","681","696","","","","",13
"INTERNACIONAL","Symposium on Reliable Distributed Systems","Florianópolis","2004","Symposium on Reliable Distributed Systems","","","","126","135","0769522394","","","",14
