NOME_INSTITUICAO,NATUREZA,PROJETO_NOME
Conselho Nacional de Desenvolvimento Científico e Tecnológico,AUXILIO_FINANCEIRO,Web-Maps
Conselho Nacional de Desenvolvimento Científico e Tecnológico,AUXILIO_FINANCEIRO,SAI - Sistemas Avançados de Informação
Fundação de Amparo à Pesquisa do Estado de São Paulo,AUXILIO_FINANCEIRO,Análise de Imagens de Parasitos Intestinais do Homem
Conselho Nacional de Desenvolvimento Científico e Tecnológico,BOLSA,Segmentação e Visualização de Imagens Médicas
Conselho Nacional de Desenvolvimento Científico e Tecnológico,BOLSA,Transformada Imagem-Floresta e suas Aplicações em Processamento de Imagens
Fundação de Amparo à Pesquisa do Estado de São Paulo,AUXILIO_FINANCEIRO,"Processamento, Visualização e Análise de Imagens Médicas"
Conselho Nacional de Desenvolvimento Científico e Tecnológico,BOLSA,"Processamento, Visualização e Análise de Imagens Médicas"
Fundação de Amparo à Pesquisa do Estado de São Paulo,AUXILIO_FINANCEIRO,"Identificação e Caracterização das Etiologias, Mecanismos de Lesão, Disfunção Neuronal, e Defeitos Moleculares na Epilepsia de Lobo Temporal Mesial e sua Relação com a Resposta ao Tratamento"
Microsoft Research University,AUXILIO_FINANCEIRO,WebBios: Web Service Multimodal Tools for Strategic Biodiversity Research
Fundação de Amparo à Pesquisa do Estado de São Paulo,AUXILIO_FINANCEIRO,CinAPCe: Centro Multimodal de Neuroimagens para estudos em Epilepsia.
Fundação de Amparo à Pesquisa do Estado de São Paulo,AUXILIO_FINANCEIRO,"Processamento, Visualização e Análise de Imagens Médicas"
Conselho Nacional de Desenvolvimento Científico e Tecnológico,BOLSA,"Processamento, Visualização e Análise de Imagens Médicas"
Fundação de Amparo à Pesquisa do Estado de São Paulo,AUXILIO_FINANCEIRO,Métodos de Aproximação para Computação Visual
Conselho Nacional de Desenvolvimento Científico e Tecnológico,AUXILIO_FINANCEIRO,Métodos de Aproximação para Computação Visual
Conselho Nacional de Desenvolvimento Científico e Tecnológico,AUXILIO_FINANCEIRO,"BIOCORE: Ferramentas, modelos e técnicas para apoio à pesquisa  em biodiversidade."
Conselho Nacional de Desenvolvimento Científico e Tecnológico,OUTRO,ICNTMat - Instituto Nacional de Ciencia e Tecnologia de Matematica
Conselho Nacional de Desenvolvimento Científico e Tecnológico,BOLSA,"Processamento, Visualização e Análise de Imagens Médicas"
Fundação de Amparo à Pesquisa do Estado de São Paulo,AUXILIO_FINANCEIRO,"Processamento, Visualização e Análise de Imagens Médicas"
Fundação de Amparo à Pesquisa do Estado de São Paulo,AUXILIO_FINANCEIRO,DAPI -- Automatização do Diagnóstico de Parasitos Intestinais do Homem por Análise de Imagens
Conselho Nacional de Desenvolvimento Científico e Tecnológico,AUXILIO_FINANCEIRO,ARPIs: Aprendizado e Reconhecimento de Padrões em Imagens por Florestas de Caminhos Ótimos
Conselho Nacional de Desenvolvimento Científico e Tecnológico,BOLSA,Análise de Padrões em Imagens usando Grafos e Modelos Nebulosos para Objetos e Classes
Fundação de Amparo à Pesquisa do Estado de São Paulo,AUXILIO_FINANCEIRO,AnImaLS: Annotation of Images in Large Scale: What can machines and specialists learn from interaction?
Fundação de Amparo à Pesquisa do Estado de São Paulo,AUXILIO_FINANCEIRO,Segmentação Assistida de Imagens e Vídeos Digitais
Fundação de Amparo à Pesquisa do Estado de São Paulo,AUXILIO_FINANCEIRO,SAMSAM: Segmentation for Analysis and Measurements in the Shoot Apical Meristem
