NOME-COMPLETO-DO-PARTICIPANTE-DA-BANCA,NOME-PARA-CITACAO-DO-PARTICIPANTE-DA-BANCA,ORDEM-PARTICIPANTE,NRO-ID-CNPQ,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,PARTICIPACAO-EM-BANCA-DE-GRADUACAO_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,27,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,28,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,29,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,30,
"Daniela Magalhães Prates","PRATES, Daniela Magalhães","2","4989183279921217",,,,31,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,31,
"andre martins biancarelli","biancarelli, andré martins","1","",,,,32,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","2","4629153708503919",,,,32,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,33,
"Bruno Martarello De Conti","CONTI, B. M.","2","",,,,34,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,34,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,35,
"Pedro Ramos","Pedro Ramos","2","",,,,,0
"André Franceschi de Angelis","André Franceschi de Angelis","3","",,,,,0
"Fernando Cezar de Macedo Mota","Fernando Cezar de Macedo Mota","4","",,,,,0
"Pedro Carlos Oprime","Pedro Carlos Oprime","5","",,,,,0
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,0
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,1
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,2
