ARTIGO-PUBLICADO_Id,SEQUENCIA-PRODUCAO,ORDEM-IMPORTANCIA,ARTIGOS-PUBLICADOS_Id
0,"1","",0
1,"2","",0
2,"3","",0
3,"4","",0
4,"5","",0
5,"6","",0
6,"7","",0
7,"8","",0
8,"9","",0
9,"10","",0
10,"11","",0
11,"12","",0
12,"13","",0
13,"14","",0
14,"15","",0
15,"17","",0
16,"18","",0
17,"19","",0
18,"98","",0
19,"139","",0
20,"142","",0
21,"143","",0
22,"147","",0
23,"154","",0
24,"235","",0
25,"346","",0
26,"347","",0
27,"356","",0
28,"357","",0
29,"358","",0
30,"349","",0
