NOME-DO-EVENTO,CODIGO-INSTITUICAO,NOME-INSTITUICAO,LOCAL-DO-EVENTO,CIDADE-DO-EVENTO,NOME-DO-EVENTO-INGLES,PARTICIPACAO-EM-ENCONTRO_Id
"40o Encontro Nacional de Economia ANPEC","","","","Porto de Galinhas","",0
"V Encontro Internacional da Associação Keynesiana Brasileira","","","","São Paulo","",1
"II Encontro Internacional da Associação Keynesiana Brasileira","","","","Porto Alegre","",2
"40o Encontro Nacional de Economia - ANPEC","","","","Porto de Galinhas","",3
"IV Encontro Nacional de Economia Política","","","","Porto Alegre","",4
"II Encontro Internacional da associação Keynesiana Brasileira","","","","Porto Alegre","",5
"IV Encontro Internacional da Associação Keynesiana Brasileira","","","","","",6
"X Encontro Nacional de Economia Política","","","","Campinas","",7
"40o Encontro Nacional de Economia - ANPEC","","","","Porto de Galinhas","",8
"Encontro Instituto de Pesquisa Econômica Aplicada.","","","","Brasilia","",9
"III Encontro Internacional da Associação Keynesiana Brasileira","","","","São Paulo","",10
"V Encontro Internacional da Associação Keynesiana Brasileira","","","","São Paulo","",11
"IV Encontro Internacional da Associação Keynesiana Brasileira","","","","Rio de Janeiro","",12
