TEXTO-EM-JORNAL-OU-REVISTA_Id,SEQUENCIA-PRODUCAO,TEXTOS-EM-JORNAIS-OU-REVISTAS_Id
0,"28",0
1,"29",0
2,"34",0
3,"37",0
4,"151",0
5,"152",0
6,"153",0
7,"184",0
8,"191",0
9,"289",0
10,"320",0
11,"344",0
12,"348",0
13,"236",0
