CODIGO-INSTITUICAO,SIGLA-INSTITUICAO,SIGLA-UF-INSTITUICAO,SIGLA-PAIS-INSTITUICAO,NOME-PAIS-INSTITUICAO,FLAG-AGENCIA-FOMENTO,FLAG-INSTITUICAO-DE-ENSINO,INFORMACOES-ADICIONAIS-INSTITUICOES_Id
"000100000991","UNICAMP","","EGI","Egito","NAO","NAO",0
"000200000993","AUXILIAR","SP","BRA","Brasil","NAO","NAO",0
"000300000995","BMG","SP","BRA","Brasil","NAO","NAO",0
"000400000997","CITIBANK","SP","BRA","Brasil","NAO","NAO",0
"000500000999","SAFRA","SP","BRA","Brasil","NAO","NAO",0
"000600000990","ENSTEL","SP","BRA","Brasil","NAO","NAO",0
"000700000992","AFRIQUE-ASIE","","AFS","África do Sul","NAO","NAO",0
"000800000994","INRA","SP","BRA","Brasil","NAO","NAO",0
"000900000996","UPA","","FRA","França","NAO","NAO",0
"001000000998","ISSEC","","FRA","França","NAO","NAO",0
"001100000990","SAE","SP","BRA","Brasil","SIM","NAO",0
"001200000991","","","","","NAO","NAO",0
"001300000993","BNDES","DF","BRA","Brasil","NAO","NAO",0
"001400000995","","","","","NAO","NAO",0
"001500000997","","","","","NAO","NAO",0
"002200000000","CNPq","DF","BRA","Brasil","SIM","SIM",0
"006100000001","FGV-SP","SP","BRA","Brasil","NAO","SIM",0
"007900000004","UNICAMP","SP","BRA","Brasil","NAO","SIM",0
"037700000002","FAPESP","SP","BRA","Brasil","SIM","NAO",0
"066300000009","IPEA","DF","BRA","Brasil","NAO","NAO",0
"066301000991","","DF","BRA","Brasil","NAO","NAO",0
"165500000000","Paris X","","FRA","França","NAO","NAO",0
