NOME-COMPLETO-DO-PARTICIPANTE-DE-EVENTOS-CONGRESSOS,NOME-PARA-CITACAO-DO-PARTICIPANTE-DE-EVENTOS-CONGRESSOS,ORDEM-PARTICIPANTE,NRO-ID-CNPQ,PARTICIPACAO-EM-CONGRESSO_Id,PARTICIPACAO-EM-SEMINARIO_Id,PARTICIPACAO-EM-ENCONTRO_Id,OUTRAS-PARTICIPACOES-EM-EVENTOS-CONGRESSOS_Id
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",0,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",1,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",2,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,0,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,1,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,0,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,1,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,2,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,3,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,4,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,5,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,6,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,7,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,8,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,9,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,10,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,11,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,12,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,0
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,1
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,2
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,3
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,4
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,5
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,6
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,7
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,8
