ATUACAO-PROFISSIONAL_Id,CODIGO-INSTITUICAO,NOME-INSTITUICAO,SEQUENCIA-ATIVIDADE,SEQUENCIA-IMPORTANCIA,ATUACOES-PROFISSIONAIS_Id
0,"000200000993","Banco Auxiliar","1","",0
1,"000300000995","Banco Bmg","2","",0
2,"000400000997","Banco Citibank","3","",0
3,"000500000999","Banco Safra","4","",0
4,"000600000990","Ecole Nationale Superieure Des Telecommunications","5","",0
5,"000700000992","Editora Afrique Asie","6","",0
6,"006100000001","Fundação Getulio Vargas - SP","7","",0
7,"000800000994","Institut National de La Recherche Agronomique","8","",0
8,"007900000004","Universidade Estadual de Campinas","9","",0
9,"001400000995","Economia e Sociedade (UNICAMP. Impresso)","10","",0
10,"066300000009","Instituto de Pesquisa Econômica Aplicada - DF","11","",0
11,"001500000997","Análise Econômica (UFRGS)","12","",0
