TIPO,TITULO-DO-CAPITULO-DO-LIVRO,ANO,PAIS-DE-PUBLICACAO,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-DO-CAPITULO-DO-LIVRO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,CAPITULO-DE-LIVRO-PUBLICADO_Id
"Capítulo de livro publicado","Internacionalização bancária e derivativos financeiros no Brasil","2005","Brasil","Português","IMPRESSO","","NAO","","","NAO",0
"Capítulo de livro publicado","O impacto dos ciclos de liquidez no Brasil: mercados financeiros, taxa de câmbio, preços e política monetária","2006","Brasil","Português","IMPRESSO","","NAO","","","NAO",1
"Capítulo de livro publicado","El impacto de los ciclos de liquidez en Brasil: mercados financieros, tipos de cambio, precios y política monetaria","2008","Espanha","Espanhol","IMPRESSO","","NAO","","","NAO",2
"Capítulo de livro publicado","A crise financeira e o global shadow banking system","2009","Brasil","Português","IMPRESSO","","NAO","","","NAO",3
"Capítulo de livro publicado","Os impactos dos derivativos no Brasil","2010","Brasil","Português","IMPRESSO","","NAO","","","NAO",4
"Capítulo de livro publicado","Crise Financeira internacional, contágio e possíveis respostas regulatórias","2010","Brasil","Português","IMPRESSO","","NAO","","","NAO",5
"Capítulo de livro publicado","Crise Financeira e Reformas da Supervisão e Regulação","2010","Brasil","Português","IMPRESSO","","NAO","","","NAO",6
"Capítulo de livro publicado","Crise Financeira Internacional: Contágio e Possíveis Reformas Regulatórias","2010","Brasil","Português","IMPRESSO","","NAO","","","NAO",7
"Capítulo de livro publicado","O Shadow Banking System no pós-crise","2012","Brasil","Português","IMPRESSO","","NAO","","","NAO",8
"Capítulo de livro publicado","Double Dip: A Recuperação Econômica em Questão","2012","Brasil","Português","IMPRESSO","","NAO","","","NAO",9
"Capítulo de livro publicado","A Crise e os Desafios para a Nova Arquitetura Financeira Internacional","2012","Brasil","Português","IMPRESSO","","NAO","","","NAO",10
"Capítulo de livro publicado","A Crise e as inovações financeiras","2013","Brasil","Português","IMPRESSO","","NAO","","","NAO",11
"Capítulo de livro publicado","Os dilemas da Política Econômica no Pós-Crise","2012","Brasil","Português","IMPRESSO","","NAO","","","NAO",12
