EMISSORA,TEMA,DATA-DA-APRESENTACAO,DURACAO-EM-MINUTOS,CIDADE,PROGRAMA-DE-RADIO-OU-TV_Id
"O Globo","","08092012","","",0
"Portal R7 Notícias","","09092012","","",1
"Portal EBC","","09092012","","",2
"Clipping - Seleção de Notícias","","09092012","","",3
"Notícias Agrícolas","","13082012","","",4
"Portal TERRA","","05052012","","",5
"Casa Jurídica","","20052012","","",6
"Rádio Guaíba","","09092012","5","",7
