NOME-DO-EVENTO,INSTITUICAO-PROMOTORA,LOCAL-DA-APRESENTACAO,CIDADE-DA-APRESENTACAO,NOME-DO-EVENTO-INGLES,APRESENTACAO-DE-TRABALHO_Id
"Núcleo de Pesquisa Moeda & Crédito","Universidade Pontifícia Católica de São Paulo","Departamento de Economia da PUC-SP","São Paulo - SP","",0
"IV Encontro Nacional de Economia Política","Sociedade Brasileira de Economia Política","Universidade Federal do Rio Grande do Sul","Porto Alegre - RS","",1
"Núcleo de Pesquisa Moeda & Crédito","Universidade Pontifícia Católica de São Paulo","Departamento de Economia - PUC-SP","São Paulo - SP","",2
"Alternativas para o Desenvolvimento Brasileiro","Centro de Estudos de Conjuntura e Política Econômica do Instituto de Economia da UNICAMP","Auditório do Instituto de Economia da UNICAMP","Campinas - SP","",3
"Centro de Estudos de Relações Internacionais","Instituto de Economia da UNICAMP","Auditório do Instituto de Economia da UNICAMP","Campinas - SP","",4
"Núcleo de Pesquisa Moeda & Crédito","Universidade Pontifícia Católica de São Paulo","Departamento de Economia - PUC-SP","São Paulo - SP","",5
"XIII Congresso Interno de Iniciação Científica da Unicamp","Universidade Estadual de Campinas","Ginásio Multidisciplinar da Unicamp","Campinas - SP","",6
"V Coloquio Latinoamericano de Economistas Políticos "América Latina y el rumbo del capitalismo"","Facultad de Economia UNAM","Facultad de Economia UNAM","Ciudad de México","",7
"IV Colóquio Latino-Americano de Economistas Políticos","","São Paulo","São Paulo - SP","",8
"SEP","","Auditório do Instituto de Economia","Campinas - SP","",9
"XIV Congresso Interno de Iniciação Científica da Unicamp","PIBIC/CNPq","Ginásio Multidisciplinar da Unicamp 27 e 28/09/2006","Campinas - SP","",10
"XIV Congresso Interno de Iniciação Científica da Unicamp","PIBIC/CNPq","Ginásio Multidisciplinar da Unicamp 27 e 28/09/2006","Campinas - SP","",11
"XIV Congresso Interno de Iniciação Científica da Unicamp","SAE/Unicamp","Ginásio Multidisciplinar da Unicamp 27 e 28/09/2006","Campinas - SP","",12
"SASE's 21 st Annual Conference","","SASE The Society for the Advancement of socio-Economics","Paris","",13
"I Workshop Interinstitucional - Grupo de Economia em Finanças","Universidade Federal de Uberlândia","Instituto de Economia da Universidade Federal de Uberlândia","Uberlândia","",14
"X Encontro Nacional de Economia Política","Universidade Estadual de Campinas","Instituto de Ecnomia da Universidade Estadual de Campinas","Campinas","",15
"V Colóquio Latino-americano de Economistas Políticos","","","Cidade do México","",16
"IV Encontro Nacional de Economia Política","Universidade Federal do Rio Grande do sul","Instituto de Economia da Universidade Federal do Rio Grande do sul","Porto Alegre","",17
"II EncontroInternacional da associação Keynesiana Brasileira","Universidade Federal do Rio Grande do Sul","Instituto de Economia da Universidade Federal do Rio Grande do Sul","Porto Alegre","",18
"Colóquio Internacional","BNDES, FAPESP, FAEPEX, Unicamp e Université Paris 13","Instituto de Economia - UNICAMP","Campinas - SP","",19
"III Encontro Internacional da Associação Keynesiana Brasileira","","São Paulo","São paulo - SP","",20
"IV Encontro Internacional da Associação Keynesiana Brasileira","","Rio de Janeiro","Rio de Janeiro","",21
"IV Encontro Internacional da Associação Keynesiana Brasileira","","Rio de Janeiro","Rio de Janeiro","",22
"Seminário Carta Maior Neoliberalismo: um colápso inconcluso","Carta Maior","TUCARENA na PUC/SP","São Paulo - SP","",23
"Conferencia internacional del 70 aniversario de la revista investigación económica","Universidad Nacional Autónoma de México","Facultad de Economía - Auditorio Narciso Bassols","México","",24
"II Encontro da Associação Keynesiana Brasileira","Associação Keynesiana Brasileira","UFRGS","Porto Alegre","",25
"15th Conference of the Research Network Macroeconomics and Macroeconomics Policies","","Berlin","Berlin","",26
"Political economy and the outlook for capitalism","Université Paris 1","Paris","Paris","",27
"Palestra sobre a situação econômica da zona do euro","","Petrobrás","Rio de Janeiro","",28
"Journées d'Etudes: Discours sur la Crise et Crise du Discours","","Amiens","Amiens","",29
"XII encontro internacional","Associação Keynesiana Brasileira","Fundação Getúlio Vargas","São Paulo","",30
"Crise de l´euro: effets discursifs","Université Jules Vernes","Université Jules Vernes","Amiens, França","",31
"Núcleo de Pesquisa Moeda & Crédito","Universidade Pontifícia Católica de São Paulo","Departamento de Economia - PUC-SP","São Paulo - SP","",32
