NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,ARTIGO-ACEITO-PARA-PUBLICACAO_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,ORGANIZACAO-DE-EVENTO_Id,PROGRAMA-DE-RADIO-OU-TV_Id
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,3,,,,,,,,
"Marcos Antonio Macedo Cintra","CINTRA, Marcos Antonio Macedo","2","0203332327068087",,,3,,,,,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,4,,,,,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,5,,,,,,,,
"Marcos Antonio Macedo Cintra","CINTRA, Marcos Antonio Macedo","2","0203332327068087",,,5,,,,,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,6,,,,,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,7,,,,,,,,
"Marcos Antonio Macedo Cintra","CINTRA, Marcos Antonio Macedo","2","0203332327068087",,,7,,,,,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,8,,,,,,,,
"Daniela Magalhães Prates","PRATES, Daniela Magalhães","2","4989183279921217",,,8,,,,,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,9,,,,,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,10,,,,,,,,
"Daniela Magalhães Prates","PRATES, Daniela Magalhães","2","4989183279921217",,,10,,,,,,,,
"Marcos Antonio Macedo Cintra","CINTRA, Marcos Antonio Macedo","3","0203332327068087",,,10,,,,,,,,
"Maria Cristina Penido de Freitas","FREITAS, M. C. P.","4","",,,10,,,,,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,11,,,,,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,12,,,,,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,0,,,,,,,
"Marcos Antonio Macedo Cintra","CINTRA, Marcos Antonio Macedo","2","0203332327068087",,,,0,,,,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,1,,,,,,,
"Marcos Antonio Macedo Cintra","CINTRA, Marcos Antonio Macedo","2","0203332327068087",,,,1,,,,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,2,,,,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,3,,,,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,4,,,,,,,
"Marcos Antonio Macedo Cintra","CINTRA, Marcos Antonio Macedo","2","0203332327068087",,,,4,,,,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,5,,,,,,,
"Marcos Antonio Macedo Cintra","CINTRA, Marcos Antonio Macedo","2","0203332327068087",,,,5,,,,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,6,,,,,,,
"Marcos Antonio Macedo Cintra","CINTRA, Marcos Antonio Macedo","2","0203332327068087",,,,6,,,,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,7,,,,,,,
"Marcos Antonio Macedo Cintra","CINTRA, Marcos Antonio Macedo","2","0203332327068087",,,,7,,,,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,8,,,,,,,
"Marcos Antonio Macedo Cintra","CINTRA, Marcos Antonio Macedo","2","0203332327068087",,,,8,,,,,,,
"Rafael Fagundes Cagnin","Cagnin, Rafael Fagundes","3","",,,,8,,,,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,9,,,,,,,
"Daniela Magalhães Prates","PRATES, Daniela Magalhães","2","4989183279921217",,,,9,,,,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,10,,,,,,,
"André Martins Biancarelli","BIANCARELLI, A. M.","2","",,,,10,,,,,,,
"Antonio Carlos Macedo e Silva","SILVA, Antonio Carlos Macedo e","3","",,,,10,,,,,,,
"Francisco Luiz Cazeiro Lopreato","LOPREATO, Francisco Luiz Cazeiro","4","",,,,10,,,,,,,
"José Maria F J da Silveira","SILVEIRA, J. M. F. J.","5","",,,,10,,,,,,,
"Pedro Linhares Rossi","ROSSI, P. L.","6","",,,,10,,,,,,,
"Daniela Magalhães Prates","PRATES, Daniela Magalhães","1","4989183279921217",,,,11,,,,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","2","4629153708503919",,,,11,,,,,,,
"Maryse Farhi","FARHI, Maryse","1","",,,,12,,,,,,,
"Saulo Cabello Abouchedid","ABOUCHEDID, S. C.","2","",,,,12,,,,,,,
"Daniela Magalhães Prates","PRATES, D. M.","3","",,,,12,,,,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,13,,,,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,0,,,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,1,,,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,2,,,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,3,,,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,4,,,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,5,,,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,6,,,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,7,,,,,,
"Rafael Fagundes Cagnin","Cagnin, Rafael Fagundes","1","",,,,,8,,,,,,
"Marcos Antonio Macedo Cintra","CINTRA, Marcos Antonio Macedo","2","0203332327068087",,,,,8,,,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","3","4629153708503919",,,,,8,,,,,,
"Júlio Sérgio Gomes de Almeida","Almeida, Júlio Sérgio Gomes de","4","",,,,,8,,,,,,
"Rafael Fagundes Cagnin","Cagnin, Rafael Fagundes","1","",,,,,9,,,,,,
"Marcos Antonio Macedo Cintra","CINTRA, Marcos Antonio Macedo","2","0203332327068087",,,,,9,,,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","3","4629153708503919",,,,,9,,,,,,
"Júlio Sérgio Gomes de Almeida","Almeida, Júlio Sérgio Gomes de","4","",,,,,9,,,,,,
"Daniela Magalhães Prates","PRATES, Daniela Magalhães","1","4989183279921217",,,,,10,,,,,,
