TITULO-DO-LIVRO,NUMERO-DE-VOLUMES,PAGINA-INICIAL,PAGINA-FINAL,ISBN,ORGANIZADORES,NUMERO-DA-EDICAO-REVISAO,NUMERO-DA-SERIE,CIDADE-DA-EDITORA,NOME-DA-EDITORA,CAPITULO-DE-LIVRO-PUBLICADO_Id
"O Brasil Frente à Ditadura do Capital Financeiro: Reflexões e Alternativas","","149","172","8598611182","FERREIRA, Carla; SCHERER, André Forti","","","Lajeado - RS","Univates - Centro Universitário Univates",0
"A supremacia dos mercados e a política econômica do Governo Lula","","173","205","8571396795","Ricardo de Medeiros Carneiro","","","São Paulo - SP","Editora Unesp",1
"Economía Brasilena Contemporánea","1","133","170","9788497684972","COUTINHO, Luciano; PRATES, Daniela Magalhães; SILVA, Julimar da","1","1","Madrid","Marcial Pons",2
"Panorama das economias Internacional e Brasileira - dinâmica e impactos da crise global","","25","45","9788572851152","Geraldo Biasoto Júnior; Luis Fernando Novais; Maria Cristina Penido de Freitas","","","São Paulo","FUNDAP",3
"Sistema Financeiro e desenvolvimento no Brasil do Plano Real à crise financeira","1","209","231","9788585938642","Luiz Cláudio Marcolino; Ricardo de Medeiros Carneiro","1","","São Paulo","Publisher Brasil e Editora Gráfica Atitude Ltda",4
"A crise global e a economia brasileira","","05","28","9788560249497","Leonardo Bornacki de Mattos; Erly Cardoso Teixeira; José Maria Alves da Silva","","","Viçosa","Suprema Gráfica e Editora",5
"Inserção Internacional Brasileira: temas de economia internacional","","23","52","9788578110604","Luciana Acioly e Marcos Antonio Macedo Cintra","","","Brasília - DF","IPEA",6
"Cúpula BRIC de Think Tanks: O papel dos BRIC na Trnasformação global no pós-crise","","57","75","9788578110","","","","Brasília","IPEA",7
"O sistema financeiro e política econômica em uma era de instabilidade: tendências mundiais e perspectivas para a economia brasileira","1","91","95","9788535263343","André de Melo Modenesi; Daniela Magalhães Prates; José Luis Oreiro; Luiz Fernando de Paula e Marco Flávio da Cunha Rezende","1","","Rio de Janeiro","Elsevier Editora Ltda",8
"A Crise Financeira Internacional: Origens, desdobramentos e perspectivas","","35","40","9788539303649","Fernando Ferrari Filho e Luiz Fernando de Paula","1","","São Paulo","Editora UNESP",9
"A Crise Financeira Internacional: Origens, desdobramentos e perspectivas","","53","60","9788539303649","Fernando Ferrari Filho e Luiz Fernando de Paula","1","","São Paulo","Editora UNESP",10
"A grande crise capitalista global 2007-2013: gênese, conexões e tendências","","35","75","9788572771429","Aloísio Sérgio Barroso; Renildo Souza","1","","São Paulo","Editora Anita Garibaldi e a Fundação Maurício Grabois",11
"As Transformações no Sistema Financeiro Internacional","1","123","176","9788578111489","Marcos Antonio Macedo Cintra; Keiti da Rocha Gomes","1","","Brasília","IPEA",12
