SEQUENCIA-ESPECIFICACAO,DISCIPLINA_Text,ENSINO_Id
"1","CE - 912 - Política e Planejamento Econômico I",0
"2","CE - 623 - Sistema Monetário Internacional",0
"3","CE-381 - Economia Internacional I",0
"4","CE-671 - Economia Monetária",0
"5","CE-712 - Teoria Monetária e Financeira",0
"1","ECO-0201 - Economia Monetária",1
"1","ECO-0201 Economia Monetária",2
"1","ECO-0201 Economia Monetária",3
"1","Eco-0201 Economia Monetária",4
"1","ECO-0201 Economia Monetária",5
"1","ECO-0209 Mercado de Capitais I: Ações",6
"1","ECO-0209 Mercado de Capitais I: Ações",7
"1","ECO-0212 Mercado de Capitais II:Derivativos",8
"1","ECO-0212 Mercado de Capitais II: Derivativos",9
"1","ECO-0212 Mercado de Capitais II: Derivativos",10
"1","CE 671 Economia Monetária",11
"1","CE 725 Monografia I",12
"2","CE 825 Monografia II",12
"1","CE 623 Sistema Monetário Internacional",13
"1","HO 212 Economia Monetária e Financeira",14
"1","HO 214 Desenvolvimento Capitalista no Brasil",15
"1","HO 450 Tópicos Especiais de Teoria Econômica",16
"2","HO 601 Economia Internacional",16
"1","CE 723 Economia Financeira",17
