PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,SEQUENCIA-PRODUCAO,PARTICIPACAO-EM-BANCA-TRABALHOS-CONCLUSAO_Id
0,"51",0
1,"81",0
2,"82",0
3,"83",0
4,"102",0
5,"221",0
6,"224",0
7,"225",0
8,"248",0
9,"269",0
10,"271",0
11,"272",0
12,"273",0
13,"52",0
