PARTICIPACAO-EM-BANCA-DE-GRADUACAO_Id,SEQUENCIA-PRODUCAO,PARTICIPACAO-EM-BANCA-TRABALHOS-CONCLUSAO_Id
0,"47",0
1,"49",0
2,"50",0
3,"53",0
4,"54",0
5,"55",0
6,"56",0
7,"57",0
8,"58",0
9,"87",0
10,"92",0
11,"93",0
12,"105",0
13,"106",0
14,"107",0
15,"133",0
16,"134",0
17,"135",0
18,"204",0
19,"205",0
20,"206",0
21,"207",0
22,"208",0
23,"209",0
24,"210",0
25,"211",0
26,"212",0
27,"213",0
28,"214",0
29,"215",0
30,"216",0
31,"245",0
32,"246",0
33,"333",0
34,"339",0
35,"48",0
