TITULO-DO-JORNAL-OU-REVISTA,ISSN,DATA-DE-PUBLICACAO,VOLUME,PAGINA-INICIAL,PAGINA-FINAL,LOCAL-DE-PUBLICACAO,TEXTO-EM-JORNAL-OU-REVISTA_Id
"Jornal Valor Econômico","","06112002","","","","São Paulo - SP",0
"Jornal Valor Econômico","","28032003","","","","São Paulo - SP",1
"Jornal Valor Econômico","","26012004","","A10","","São Paulo",2
"Carta Capital","","01122004","319","","","São Paulo - SP",3
"Valor Econômico","","30092008","","12","","São Paulo",4
"Valor Econômico","","28012004","","A-10","","Sao Paulo",5
"Revista Reportagem, oficinina de Informações","","05052002","","25","28","Sao Paulo",6
"Nueva Sociedad","02513552","01112009","","104","127","",7
"Contexto (UFRGS)","16766016","08102010","","1","1","",8
"Jornal Folha de São Paulo","","26042012","","","","São Paulo",9
"Jornal da Unicamp","","13062013","","6","7","Campinas",10
"Carta Maior","","17092014","","","","São Paulo",11
"Princípios","","01072015","","77","80","São Paulo",12
"Le Monde Diplomatique (Brasil)","19817525","01102011","","4","5","São Paulo",13
