CAPITULO-DE-LIVRO-PUBLICADO_Id,SEQUENCIA-PRODUCAO,CAPITULOS-DE-LIVROS-PUBLICADOS_Id
0,"72",0
1,"79",0
2,"136",0
3,"183",0
4,"186",0
5,"187",0
6,"199",0
7,"264",0
8,"306",0
9,"315",0
10,"316",0
11,"325",0
12,"307",0
