NATUREZA,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-INGLES,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id
"Doutorado","Crise Financeira dos países emergentes: uma interpretação heterodoxa","2002","Brasil","Português","","","",0
"Doutorado","Crises cambiais recentes no Brasil e na Argentina","2006","Brasil","Português","","","",1
"Doutorado","Financiamento de Empresas Não-Financeiras de Capital Aberto no Brasil: Proposição de uma abordagem quantílica","2010","Brasil","Português","","","",2
"Doutorado","A sustentabilidade ambiental no setor financeiro: da autorregulação à regulação","2013","Brasil","Português","","","Environmental sustainability in the financial sector: self-regulation to regulation",3
"Doutorado","Os derivativos e a crise do subprime: o capitalismo em sua ?quarta dimensão?","2013","Brasil","Português","","","",4
