OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,SEQUENCIA-PRODUCAO,DEMAIS-TIPOS-DE-PRODUCAO-BIBLIOGRAFICA_Id
0,"112",0
1,"113",0
2,"115",0
3,"122",0
4,"123",0
5,"124",0
6,"125",0
7,"126",0
8,"140",0
9,"141",0
10,"150",0
11,"170",0
12,"171",0
13,"172",0
14,"173",0
15,"190",0
16,"198",0
17,"266",0
18,"267",0
19,"268",0
20,"283",0
21,"284",0
22,"285",0
23,"286",0
24,"287",0
25,"288",0
26,"345",0
27,"114",0
