OUTRAS-ORIENTACOES-CONCLUIDAS_Id,SEQUENCIA-PRODUCAO,ORIENTACOES-CONCLUIDAS_Id
0,"41",0
1,"42",0
2,"43",0
3,"44",0
4,"61",0
5,"62",0
6,"63",0
7,"65",0
8,"66",0
9,"67",0
10,"68",0
11,"69",0
12,"77",0
13,"78",0
14,"84",0
15,"86",0
16,"89",0
17,"90",0
18,"91",0
19,"94",0
20,"103",0
21,"104",0
22,"110",0
23,"111",0
24,"130",0
25,"131",0
26,"132",0
27,"137",0
28,"138",0
29,"177",0
30,"178",0
31,"179",0
32,"180",0
33,"181",0
34,"182",0
35,"193",0
36,"194",0
37,"195",0
38,"196",0
39,"197",0
40,"229",0
41,"239",0
42,"240",0
43,"241",0
44,"242",0
45,"243",0
46,"244",0
47,"257",0
48,"258",0
49,"276",0
50,"301",0
51,"303",0
52,"304",0
53,"332",0
54,"334",0
55,"335",0
56,"336",0
57,"337",0
58,"338",0
59,"340",0
60,"350",0
61,"351",0
62,"352",0
63,"353",0
64,"354",0
65,"88",0
