TITULO-DO-PERIODICO-OU-REVISTA,ISSN,VOLUME,FASCICULO,SERIE,PAGINA-INICIAL,PAGINA-FINAL,LOCAL-DE-PUBLICACAO,ARTIGO-PUBLICADO_Id,ARTIGO-ACEITO-PARA-PUBLICACAO_Id
"Ensaios FEE","01011723","21","2","","202","208","Porto Alegre - RS",0,
"Revista de Economia Política","01013157","20","3","","163","168","São Paulo - SP",1,
"Indicadores Diesp Fundap","","9","77","","3","6","São Paulo - SP",2,
"Revista Pesquisa e Debate","","10","1","","137","162","São Paulo - SP",3,
"Economia e Sociedade (UNICAMP)","01040618","13","","","93","114","Campinas - SP",4,
"do IV Econtro Nacional de Economia Política","","","","","","","Porto Alegre - RS",5,
"Iesp Fundap","","1","","","","","São Paulo - SP",6,
"Iesp Fundap","","2","","","","","São Paulo - SP",7,
"Iesp Fundap","","3","","","","","Campinas - SP",8,
"Pesquisa e Debates","","13","1","","85","111","São Paulo - SP",9,
"Economia e Sociedade (UNICAMP)","01040618","17","","","","","Campinas - SP",10,
"Ensaios FEE","01011723","23","2","","","","Porto Alegre - RS",11,
"Revista Nueva Sociedad","","","79","","89","111","Caracas",12,
"Desafio","","3","5","","31","53","Campo Grande - MT",13,
"Revista Reportagem Oficina de Informações","","III","35","","25","28","São Paulo - SP",14,
"Sociedade Brasileira de Estudos de Empresas Transnacionais e da Globalização Econômica Sobeet","","12","","IV","","","São Paulo - SP",15,
"Revista de Economia Política","01013157","23","1","","89","89","São Paulo - SP",16,
"Ensaios FEE","01011723","24","No 2","","","","Porto Alegre - RS",17,
"Nueva Sociedad","02513552","183","","","1","16","Caracas",18,
"Novos Estudos. CEBRAP","01013300","82","","","35","55","",19,
"Estudos Avançados","01034014","23","","66","1","2","",20,
"Revue de la Regulation: capitalisme, institutions, pouvoirs","19577796","5","","","4","","",21,
"Revista de Economia Política (Impresso)","01013157","29","","3","274","294","",22,
"Revista de Economia Política (Impresso)","01013157","29","","113","1","2","",23,
"Nueva Sociedad","02513552","224","","","1","2","",24,
"Journal of Post Keynesian Economics","01603477","37","","4","568","589","",25,
"Revista de Economia Política (Impresso)","01013157","34","","3","396","412","",26,
"Revue Economie et Institutions","17752329","23","","1a","41","71","",27,
"Journal of Post Keynesian Economics","01603477","37","","4","568","589","",28,
"Nova Economia (UFMG. Impresso)","01036351","25","","2","237-260","","",29,
"Nova Economia (UFMG. Impresso)","01036351","25, N2","","","237","259","",30,
"Revista de Economia Política (Impresso)","01013157","","","","","","",,0
