NOME,DESCRICAO,PROFICIENCIA_DE_LEITURA,PROFICIENCIA_DE_FALA,PROFICIENCIA_DE_ESCRITA,PROFICIENCIA_DE_COMPREENSAO
EN,Inglês,BEM,RAZOAVELMENTE,BEM,BEM
IT,Italiano,BEM,BEM,BEM,BEM
ES,Espanhol,BEM,RAZOAVELMENTE,POUCO,BEM
FR,Francês,BEM,POUCO,POUCO,RAZOAVELMENTE
