NOME_INSTITUICAO
University of Waterloo
Pontifícia Universidade Católica do Rio de Janeiro
Centrais Elétricas - Sede
Universidade Estadual de Campinas
Sociedade Brasileira de Computacao
Geoinformatica (Dordrecht)
The VLDB Journal
IP. Informática Pública
International Journal of Web Systems Research
Journal of the Brazilian Computer Society
Université Paris-Dauphine - Paris IX
University of Münster
intelligent decision technologies: an International Journal
Universidade de São Paulo
(CNPq) Conselho Nacional de Desenvolvimento Científico e Tecnológico
(FAPESP) Fundação de Amparo à Pesquisa do Estado de São Paulo
(CNPq) Conselho Nacional de Desenvolvimento Científico e Tecnológico
