NOME,DESCRICAO,PROFICIENCIA_DE_LEITURA,PROFICIENCIA_DE_FALA,PROFICIENCIA_DE_ESCRITA,PROFICIENCIA_DE_COMPREENSAO
DE,Alemão,RAZOAVELMENTE,POUCO,POUCO,NAO_INFORMADO
EN,Inglês,BEM,BEM,BEM,NAO_INFORMADO
ES,Espanhol,BEM,BEM,BEM,NAO_INFORMADO
FR,Francês,BEM,BEM,BEM,NAO_INFORMADO
IT,Italiano,BEM,RAZOAVELMENTE,POUCO,NAO_INFORMADO
