FINALIDADE,FINALIDADE-INGLES,DESENVOLVIMENTO-DE-MATERIAL-DIDATICO-OU-INSTRUCIONAL_Id
"","",0
"módulos para ensino via computador","",1
"módulos para ensino via computador","",2
"módulos para ensino via computador","",3
"módulos para ensino via computador","",4
"Ensino","",5
"Disciplina para o curso a distância da UAB/UFSCar","",6
