SEQUENCIA-FORMACAO,NIVEL,CARGA-HORARIA,CODIGO-INSTITUICAO,NOME-INSTITUICAO,CODIGO-ORGAO,NOME-ORGAO,CODIGO-CURSO,NOME-CURSO,STATUS-DO-CURSO,ANO-DE-INICIO,ANO-DE-CONCLUSAO,NOME-CURSO-INGLES,FORMACAO-COMPLEMENTAR_Id
"20","8","4","000800000994","Escola de Artes Pró-Música de Campinas","","","90000026","Oficina Boomwhackers, Cartelas e a Música Colabora","CONCLUIDO","2014","2014","",0
"14","8","40","000600000990","Associação Orff Brasil","","","90000019","VI Curso Internacional Orff-schulwerk","CONCLUIDO","2013","2013","",0
"11","8","41","000600000990","Associação Orff Brasil","","","90000014","V Curso Internacional Orff-schulwerk","CONCLUIDO","2011","2011","",0
"5","8","30","000600000990","Associação Orff Brasil","","","90000015","III Curso Internacional Orff- schulwerk","CONCLUIDO","2003","2003","",0
"7","8","90","071500000009","Pontifícia Universidade Católica de Campinas","","","90000008","Curso de Introdução à Regência Coral","CONCLUIDO","2001","2002","",0
