CLASSIFICACAO-DO-EVENTO,NOME-DO-EVENTO,CIDADE-DO-EVENTO,ANO-DE-REALIZACAO,TITULO-DOS-ANAIS-OU-PROCEEDINGS,VOLUME,FASCICULO,SERIE,PAGINA-INICIAL,PAGINA-FINAL,ISBN,NOME-DA-EDITORA,CIDADE-DA-EDITORA,NOME-DO-EVENTO-INGLES,TRABALHO-EM-EVENTOS_Id
"NACIONAL","Encontro Anual da ABEM","Curitiba","1999","Caderno de Comunicações. VIII Encontro Anual da ABEM.","VIII","","","","","","","","",0
"REGIONAL","COPEDI (Congresso Paulista de Educação Infantil)","Águas de Lindóia","1998","Programas e resumos. I COPEDI","I","","","","","","","","",1
"REGIONAL","IV Encontro Regional da Aesp","Campinas","1997","Caderno de Resumos","IV","","","","","","","","",2
"NACIONAL","IX ENDIPE (Encontro Nacional de","São Paulo","1997","Anais","v. 1/2","","","","","","","","",3
"NACIONAL","I Congresso Nacional de Educação Musical","São Paulo","2007","I CNEM","","","","","","","","","",4
"NACIONAL","V Seminário Memória e Ciência","Campinas","2007","V Semmemo","","","","","","","","Campinas","",5
"NACIONAL","VI SEMPE-VI Seminário de Metodologias para Projetos de Extensão","São Carlos","2008","VI SEMPE","","","","","","","","","",6
"NACIONAL","XVII Encontro Nacional da ABEM- Associação Brasileira de Educação Musical","São Paulo","2008","XVII Encontro Nacional da ABEM","","","","","","","","","",7
"NACIONAL","17º. COLE (Congresso de Leitura do Brasil):","Campinas","2009","17º. COLE (Congresso de Leitura do Brasil):","","","","","","","","Campinas","",8
"NACIONAL","IX Congresso Nacional de Psicologia Escolar e Educacional (CONPE):","São Paulo","2009","IX Congresso Nacional de Psicologia Escolar e Educacional (CONPE):","","","","","","","","","",9
"NACIONAL","XXI Congresso da ANPPOM","Uberlândia","2011","A fuga (marcha-rancho) de Edino Krieger.","","","","","","19835973","","","",10
"NACIONAL","XXIII Congresso da Associação Nacional de Pesquisa e Pós-Graduação em Música","Natal","2013","XXIII Congresso da Associação Nacional de Pesquisa e Pós-Graduação em Música","","","","","","ISSN19835","","","",11
"NACIONAL","VI Fala Outra Escola","Campinas","2013","VI Fala Outra Escola","","","","","","","","","",12
"NACIONAL","VI Seminário Fala Outra Escola: Diálogo e conflito. Por uma escuta alteritária","Campinas","2013","VI Seminário Fala Outra Escola: Diálogo e conflito. Por uma escuta alteritária","","","","","","","","","",13
