NOME-DO-EVENTO,CODIGO-INSTITUICAO,NOME-INSTITUICAO,LOCAL-DO-EVENTO,CIDADE-DO-EVENTO,NOME-DO-EVENTO-INGLES,PARTICIPACAO-EM-ENCONTRO_Id
"Formação de Professores e Programas Institucionais: Políticas Públicas em Contexto","","","","Campinas- SP","",0
"IV Encontro PIBID Unicamp","","","","Campinas- SP","",1
"III Encontro de Educação Musical da Unicamp","","","","Campinas","",2
"X Encontro de Formação de Educadores","","","","São João da Boa Vista","",3
"Encontro Regional da Abem Sudeste","","","","Montes Claros- MG","",4
"III Semana de Educação Musical","","","","São Paulo","",5
"I Encontro sobre a Formação em Música na Universidade","","","","Campinas- SP","",6
"V Encontro PIBID","","","","Campinas","",7
"IV Encontro PIBID/Unicamp","","","","Campinas- SP","",8
"III Encontro PIBID / Unicamp","","","","Campinas","",9
"IX Encontro Regional da ABEM Sudeste e I Fórum Estadual de Educação Musical do Espírito Santo","","","","Vitória","",10
"XX Encontro Anual da ABEM","","","","Vitória-ES","",11
"IV Encontro de Educação Musical da Unicamp","","","","Campinas- SP","",12
"II Encontro de Educação Musical da Unicamp","","","","Campinas- SP","",13
"1º Encontro de Educação Musical de Rio Claro","","","","Rio Claro","",14
"XVII Encontro Nacional da ABEM- Associação Brasileira de Educação Musical","","","","São Paulo","",15
"IV Encontro de Educação Musical da Unicamp","","","","Campinas","",16
"I Encontro presencial de alunos e tutores da UAB/UFSCar","","","","São Carlos","",17
"III Encontro PIBID/Unicamp","","","","Campinas- SP","",18
"Encontro de Corais","","","","Campinas","",19
