TITULO-DO-LIVRO,NUMERO-DE-VOLUMES,PAGINA-INICIAL,PAGINA-FINAL,ISBN,ORGANIZADORES,NUMERO-DA-EDICAO-REVISAO,NUMERO-DA-SERIE,CIDADE-DA-EDITORA,NOME-DA-EDITORA,CAPITULO-DE-LIVRO-PUBLICADO_Id
"Ampliando horizontes na formação de professores","3","111","124","9788564440203","Eliana Ayoub e Guilherme do Val Toledo Prado","1","","Campinas","Leitura Críitica",0
"PIBID-Unicamp: interlocuções e ações no contexto de uma necessária política de formação de professores.","6","1","","9788564440364","AYOUB, Eliana; PRADO, Guilherme doVal Toledo; PRODÓCIMO, Elaine.","1","","Campinas -SP","Edições Leitura Crítica",1
"O Ensino das Artes- construindo caminhos.","","79","114","8530806425","FERREIRA, Sueli.","1a.","","Campinas","Papirus",2
