CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,SEQUENCIA-PRODUCAO,DEMAIS-TIPOS-DE-PRODUCAO-TECNICA_Id
0,"158",0
1,"259",0
2,"260",0
3,"261",0
4,"27",0
5,"28",0
6,"29",0
7,"405",0
8,"69",0
9,"70",0
10,"262",0
