SEQUENCIA-AREA-DE-ATUACAO,NOME-GRANDE-AREA-DO-CONHECIMENTO,NOME-DA-AREA-DO-CONHECIMENTO,NOME-DA-SUB-AREA-DO-CONHECIMENTO,NOME-DA-ESPECIALIDADE,AREAS-DE-ATUACAO_Id
"1","LINGUISTICA_LETRAS_E_ARTES","Artes","Música","",0
"2","LINGUISTICA_LETRAS_E_ARTES","Artes","Música","Pedagogia Musical",0
"3","LINGUISTICA_LETRAS_E_ARTES","Artes","Supervisão de Estágio Pedagógico","",0
"4","CIENCIAS_EXATAS_E_DA_TERRA","Ciência da Computação","Ensino a distância","",0
"5","CIENCIAS_HUMANAS","Educação","TECNOLOGIAS NA EDUCAÇAO","",0
"6","LINGUISTICA_LETRAS_E_ARTES","Artes","Música","Piano",0
