CODIGO-INSTITUICAO,SIGLA-INSTITUICAO,SIGLA-UF-INSTITUICAO,SIGLA-PAIS-INSTITUICAO,NOME-PAIS-INSTITUICAO,FLAG-AGENCIA-FOMENTO,FLAG-INSTITUICAO-DE-ENSINO,INFORMACOES-ADICIONAIS-INSTITUICOES_Id
"000100000991","CMS","SP","BRA","Brasil","NAO","NAO",0
"000200000993","ESCA","SP","BRA","Brasil","NAO","NAO",0
"000300000995","CSA","SP","BRA","Brasil","NAO","NAO",0
"000400000997","EA","SP","BRA","Brasil","NAO","NAO",0
"000500000999","MC","SP","BRA","Brasil","NAO","NAO",0
"000600000990","ABRAORFF","SP","BRA","Brasil","NAO","NAO",0
"000700000992","EM","","BRA","Brasil","NAO","NAO",0
"000800000994","EAP","SP","BRA","Brasil","NAO","NAO",0
"000900000996","PIBIC/ UNICAMP","SP","BRA","Brasil","SIM","NAO",0
"001000000998"," PIBIC/ UNICAMP","SP","BRA","Brasil","SIM","NAO",0
"001100000990","PPG/MUSICA","SP","BRA","Brasil","SIM","NAO",0
"001200000991","EEJVN","SP","BRA","Brasil","NAO","NAO",0
"001300000993","EEJVN","SP","BRA","Brasil","NAO","NAO",0
"001301000997","","SP","BRA","Brasil","NAO","NAO",0
"001400000995","EB","SP","BRA","Brasil","NAO","NAO",0
"001500000997","PREAC","SP","BRA","Brasil","NAO","NAO",0
"001600000999","USE","SP","BRA","Brasil","NAO","NAO",0
"001700000001","UFRA","PA","BRA","Brasil","NAO","SIM",0
"002200000000","CNPq","DF","BRA","Brasil","SIM","SIM",0
"007900000004","UNICAMP","SP","BRA","Brasil","NAO","SIM",0
"020200000009","UFRJ","RJ","BRA","Brasil","NAO","SIM",0
"033500000006","UFSCAR","SP","BRA","Brasil","NAO","SIM",0
"033501000999","","SP","BRA","Brasil","NAO","NAO",0
"045000000000","CAPES","DF","BRA","Brasil","SIM","SIM",0
"045001000993","","DF","BRA","Brasil","NAO","NAO",0
"071500000009","PUC Campinas","SP","BRA","Brasil","NAO","SIM",0
"147600000004","SYR","","EUA","Estados Unidos","NAO","NAO",0
"168700000009","UNASP","SP","BRA","Brasil","NAO","SIM",0
"169600000005","UNIMEP","SP","BRA","Brasil","NAO","SIM",0
"342900000001","UAM","SP","BRA","Brasil","NAO","SIM",0
"985600126290","ABEM","BA","BRA","Brasil","NAO","NAO",0
