NATUREZA,TITULO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-INGLES,NATUREZA-INGLES,FLAG-DIVULGACAO-CIENTIFICA,DESENVOLVIMENTO-DE-MATERIAL-DIDATICO-OU-INSTRUCIONAL_Id
"Ensino a distancia","Video-aulas para as disciplinas Teclado I e II","2011","Brasil","Português","MEIO_DIGITAL","","NAO","","","","NAO",0
"módulos instrucionais","Módulos de Educação Musical","2004","Brasil","Português","MEIO_DIGITAL","","NAO","","","","NAO",1
"módulos instrucionais","Módulos de Educação Musical","2005","Brasil","Português","NAO_INFORMADO","","NAO","","","","NAO",2
"módulos instrucionais","Módulos de Educação Musical","2006","Brasil","Português","MEIO_DIGITAL","","NAO","","","","NAO",3
"módulos instrucionais","Módulos de Educação Musical","2007","Brasil","Português","MEIO_DIGITAL","","NAO","","","","NAO",4
"módulos instrucionais","Módulos de Educação Musical","2008","Brasil","Português","MEIO_DIGITAL","","NAO","","","","NAO",5
"ensino a distancia","Ensino a distância e conhecimento","2008","Brasil","Português","VARIOS","","NAO","","","","NAO",6
