INSTITUICAO-PROMOTORA,DURACAO-EM-SEMANAS,FLAG-EVENTO-ITINERANTE,FLAG-CATALOGO,LOCAL,CIDADE,ORGANIZACAO-DE-EVENTO_Id
"Fundação Christiano Rosa","","S","","Centro Cultural Célia Aparecida Rosa","Piquete",0
"Universidade Estadual de Campinas","1","N","","Universidade Estadual de Campinas","Campinas- SP",1
"Universidade Estadual de Campinas","1","N","","Universidade Estadual de Campinas","Campinas- SP",2
"IA- UNESP","1","S","","IA- UNESP","São Paulo",3
"Universidade Estadual de Campinas","1","S","","Instituto de Artes-UNICAMP","Campinas",4
"Universidade Estadual de Campinas","","N","","Sala 3 no PPG/MUS/IA","Campinas",5
"UNICAMP","1","N","","Instituto de Artes da Unicamp","Campinas- SP",6
"Universidade Estadual de Campinas","1","N","","Instituto de Artes da Unicamp","Campinas- SP",7
"NICS, ABCM e Unicamp","1","N","S","Instituto de Artes e Centro de Convenções da Unicamp","Campinas- SP",8
"Universidade Estadual de Campinas","1","S","","Unicamp","Campinas- SP",9
"Unicamp","1","N","","Unicamp","Campinas- SP",10
"Unicamp","","N","","","Campinas",11
"Instituto de Artes e Núcleo Interdisciplinar de Comunicação Sonora","1","N","","Unicamp","Campinas",12
"Pró-reitoria de Pesquisa da Unicamp","4","S","","Unicamp","Campinas- SP",13
"Unicamp","1","S","","Instituto de Artes-UNICAMP","",14
"Unicamp","1","S","","Unicamp","Campinas- SP",15
