PARTICIPACAO-EM-BANCA-DE-GRADUACAO_Id,SEQUENCIA-PRODUCAO,PARTICIPACAO-EM-BANCA-TRABALHOS-CONCLUSAO_Id
0,"13",0
1,"14",0
2,"15",0
3,"46",0
4,"47",0
5,"48",0
6,"172",0
