TRABALHO-TECNICO_Id,SEQUENCIA-PRODUCAO,PRODUCAO-TECNICA_Id
0,"151",0
1,"152",0
2,"153",0
3,"154",0
4,"155",0
5,"156",0
6,"157",0
7,"192",0
8,"193",0
9,"245",0
10,"246",0
11,"247",0
12,"248",0
13,"249",0
14,"251",0
15,"252",0
16,"253",0
17,"389",0
18,"390",0
19,"250",0
