TIPO,NATUREZA,TITULO-DO-LIVRO,ANO,PAIS-DE-PUBLICACAO,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-DO-LIVRO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,LIVRO-PUBLICADO-OU-ORGANIZADO_Id
"LIVRO_PUBLICADO","TEXTO_INTEGRAL","Educação a Distância para a Educação Musical 1","2008","Brasil","Português","IMPRESSO","","NAO","","","NAO",0
"LIVRO_PUBLICADO","TEXTO_INTEGRAL","Introdução ao teclado- uma introdução à prática musical por meio do teclado- volume 2","2011","Brasil","Português","NAO_INFORMADO","","NAO","","","NAO",1
"LIVRO_PUBLICADO","TEXTO_INTEGRAL","Introdução ao teclado- uma introdução à prática musical por meio do teclado- volume 1","2011","Brasil","Português","IMPRESSO","","NAO","","","NAO",2
