NATUREZA,TITULO-DO-TRABALHO-TECNICO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-DO-TRABALHO-TECNICO-INGLES,TRABALHO-TECNICO_Id
"PARECER","Parecer de assessoria científica Faepex","2011","Brasil","Português","NAO_INFORMADO","","NAO","","",0
"PARECER","Parecer de assessoria científica Faepex","2011","Brasil","Português","NAO_INFORMADO","","NAO","","",1
"PARECER","Parecer de assessoria científica Faepex","2011","Brasil","Português","NAO_INFORMADO","","NAO","","",2
"PARECER","Parecer de assessoria científica Faepex","2012","Brasil","Português","NAO_INFORMADO","","NAO","","",3
"PARECER","Parecer de assessoria científica Faepex","2012","Brasil","Português","NAO_INFORMADO","","NAO","","",4
"PARECER","Parecer de assessoria científica Faepex","2012","Brasil","Português","NAO_INFORMADO","","NAO","","",5
"PARECER","Parecer de assessoria científica Faepex","2012","Brasil","Português","NAO_INFORMADO","","NAO","","",6
"PARECER","Parecer para pós-graduação sobre relatório de atividades do prof. Dr. Paulo Kuhl","2013","Brasil","Português","NAO_INFORMADO","","NAO","","",7
"PARECER","Parecer sobre revalidação de diploma estrangeiro para PPG/Mus/IA/Unicamp -processo nº. 01P/25716/2013","2013","Brasil","Português","NAO_INFORMADO","","NAO","","",8
"PARECER","Parecerista do XXIV Congresso da Anppom na subárea Educação Musical","2014","Brasil","Português","MEIO_DIGITAL","http://www.anppom.com.br/anais.php","NAO","","",9
"PARECER","Membro de Comissão Avaliadora de Revalidação de Diploma","2014","Brasil","Português","NAO_INFORMADO","","NAO","","",10
"PARECER","Parecer de assessoria científica Faepex","2013","Brasil","Português","NAO_INFORMADO","","NAO","","",11
"PARECER","Parecer de assessoria científica Faepex","2014","Brasil","Português","NAO_INFORMADO","","NAO","","",12
"PARECER","Membro de Comissão Avaliadora de Revalidação de Diploma","2014","Brasil","Português","NAO_INFORMADO","","NAO","","",13
"PARECER","Parecerista na Banca Examinadora de Seleção da 4ª Edição do Programa Aluno-Artista do SAE Unicamp","2013","Brasil","Português","NAO_INFORMADO","","NAO","","",14
"PARECER","Parecerista da IV Semana de Educação Musical do IA- UNESP e VIII Encontro Regional Sudeste da ABEM","2012","Brasil","Português","NAO_INFORMADO","","NAO","","",15
"PARECER","Parecerista do I Encontro sobre a Formação em Música na Universidade","2014","Brasil","Português","NAO_INFORMADO","","NAO","","",16
"ELABORACAO_DE_PROJETO","Produção Executiva dos Livros do Professor e do Aluno","2013","Brasil","Português","IMPRESSO","","NAO","","",17
"ELABORACAO_DE_PROJETO","Leitura Crítica da parte de Música dos volumes do 6º ao 9º ano da Coleção Araribá-Arte da Editora Moderna Ltda","2015","Brasil","Português","OUTRO","","NAO","","",18
"PARECER","Parecerista do II Fórum de Educação Musical da Bahia (FEMBA)","2013","Brasil","Português","NAO_INFORMADO","","NAO","","",19
