NOME-DO-EVENTO,CODIGO-INSTITUICAO,NOME-INSTITUICAO,LOCAL-DO-EVENTO,CIDADE-DO-EVENTO,NOME-DO-EVENTO-INGLES,PARTICIPACAO-EM-SEMINARIO_Id
"VII Seminário Paulo Freire","","","","Campinas- SP","",0
"Seminário Internacional: Teoria Social Cognitiva em Debate","","","","Campinas","",1
"VI SEMPE-VI Seminário de Metodologias para Projetos de Extensão","","","","São Carlos","",2
"I Seminário sobre Arte/Educação do Instituto de Artes da Unicamp","","","","Campinas- SP","",3
"Seminário Internacional: Educação Musical Mediada Pelas Tecnologias Digitais","","","","Porto Alegre","",4
"Seminário Internacional: Educação Musical mediada pelas Tecnologias Digitais","","","","Porto Alegre","",5
"Desconstruindo a violência na escola- I e II","","","","Campinas","",6
"VII Seminário Internacional Paulo Freire","","","","Campinas","",7
"II Seminário da Comissão de Estágio da FE/Unicamp","","","","Campinas- SP","",8
"V Seminário Fala outra Escola","","","","Campinas- SP","",9
"A Educação a Distância na UAB/UFSCar","","","","São Carlos","",10
"Seminário "O que a arte ensina a quem ensina arte"","","","","Campinas- SP","",11
"V Seminário Fala Outra Escola","","","","Campinas- SP","",12
"VI Fala outra escola","","","","Campinas- SP","",13
"IV Seminário de Educação Brasileira","","","","Campinas- SP","",14
"II Seminário da Comissão de Estágio da FE/Unicamp","","","","Campinas","",15
"Vi Seminário de Metodologias para Projetos de Extensão","","","","São Carlos","",16
"XIV Seminario latinoamericano de Educación Musical","","","","Mérida- México","",17
"VI Seminário Fala Outra Escola","","","","Campinas- SP","",18
"V Seminário Memória e Ciência","","","","Campinas","",19
