APRESENTACAO-DE-TRABALHO_Id,SEQUENCIA-PRODUCAO,DEMAIS-TIPOS-DE-PRODUCAO-TECNICA_Id
0,"7",0
1,"8",0
2,"9",0
3,"25",0
4,"26",0
5,"55",0
6,"56",0
7,"57",0
8,"58",0
9,"59",0
10,"60",0
11,"64",0
12,"65",0
13,"66",0
14,"67",0
15,"68",0
16,"71",0
17,"72",0
18,"133",0
19,"167",0
20,"254",0
21,"255",0
22,"256",0
23,"257",0
24,"376",0
25,"377",0
26,"378",0
27,"379",0
28,"380",0
29,"381",0
30,"382",0
31,"383",0
32,"384",0
33,"385",0
34,"386",0
35,"387",0
36,"388",0
37,"475",0
38,"485",0
39,"486",0
40,"487",0
41,"258",0
