NOME-DO-EVENTO,CODIGO-INSTITUICAO,NOME-INSTITUICAO,LOCAL-DO-EVENTO,CIDADE-DO-EVENTO,NOME-DO-EVENTO-INGLES,PARTICIPACAO-EM-CONGRESSO_Id
"II Congresso Nacional de Formação de Professores e XII Congresso Estadual Paulista","","","","Águas de Lindoia","",0
"31st International Society of Music Education World Conference","","","","Porto Alegre","",1
"Congresso Anppom/Natal - UFRN","","","","Natal","",2
"XXI Congresso da ANPPOM","","","","Uberlândia","",3
"VIII Congresso dos Cursos de Licenciatura da Unicamp","","","","Campinas","",4
"XXI Congresso Anual da ABEM","","","","Pirenópolis","",5
"19º Congresso de Leitura do Brasil (COLE)","","","","Campinas- SP","",6
"III Congresso Nacional CARM","","","","Indianápolis","",7
"18° Congresso de Leitura do Brasil","","","","Campinas","",8
"31st World Conference on Music Education","","","","Porto Alegre","",9
"III Congresso Brasileiro de Educação Especial","","","","São Carlos","",10
"17º Congresso da ANPPOM","","","","São Paulo","",11
"I Congresso Nacional de Educação Musical","","","","São Paulo","",12
"17º COLE (Congresso de Leitura do Brasil)","","","","Campinas","",13
"60ª Reunião Anual da SBPC","","","","Campinas- SP","",14
"XVII Congresso da ANPPOM","","","","São Paulo","",15
"Grupo de Trabalho em Educação Musical no XXI Congresso da ANPPOM","","","","Uberlândia","",16
"II Congresso Nacional de Formação de Professores","","","","Águas de Lindóia","",17
"60ª Reunião Anual da Sociedade Brasileira para o Progresso da Ciência (SBPC)","","","","Campinas","",18
"XXI Congresso de Iniciacao Cientifica da Unicamp (PIBIC)","","","","Campinas","",19
"2º Congresso de Extensão Universitária da Unicamp","","","","Campinas","",20
"IX Congresso Nacional de Psicologia Escolar e Educacional (CONPE)","","","","São Paulo","",21
"III Congresso Brasileiro de Educação Especial","","","","São Carlos","",22
