PARTICIPACAO-EM-SEMINARIO_Id,SEQUENCIA-PRODUCAO,PARTICIPACAO-EM-EVENTOS-CONGRESSOS_Id
0,"283",0
1,"458",0
2,"39",0
3,"477",0
4,"134",0
5,"276",0
6,"51",0
7,"49",0
8,"279",0
9,"101",0
10,"50",0
11,"266",0
12,"281",0
13,"231",0
14,"271",0
15,"124",0
16,"286",0
17,"288",0
18,"269",0
19,"19",0
