NOME-DO-PREMIO-OU-TITULO,NOME-DA-ENTIDADE-PROMOTORA,ANO-DA-PREMIACAO,NOME-DO-PREMIO-OU-TITULO-INGLES,PREMIOS-TITULOS_Id
"?Irene Crooker Award?","College of Visual and Performing Arts of Syracuse University","1990","",0
"Trabalho indicado para publicação no 1o prêmio Esther Scliar de Educação Musical","Escola de Música Villa-Lobos e Funarj","1998","",0
"Mérito Científico","XXII Congresso de Iniciação Científica da Unicamp","2014","",0
