NOME-DO-EVENTO,INSTITUICAO-PROMOTORA,LOCAL-DA-APRESENTACAO,CIDADE-DA-APRESENTACAO,NOME-DO-EVENTO-INGLES,APRESENTACAO-DE-TRABALHO_Id
"","Faculdade de Educação da Unicamp","Unicamp","Campinas","",0
"","PUC Campinas","PUC Campinas","Campinas","",1
"","Associação Brasileira de Educação Musical (Abem)","Canal da Música","Curitiba","",2
"I Congresso Nacional de Educação Musical (CNEM)","Faculdade Cantareira e ABEM","Faculdade Cantareira","São Paulo","",3
"V Seminário Memória Ciência e Arte","Centro de Memória e Centro de Memória da Educação/ UNICAMP","UNICAMP","Campinas","",4
"Encontro Anual da ABEM","IA- UNESP","São Paulo","São Paulo","",5
"VI SEMPE (Seminário Nacional de Metodologias para Projetos de Extensão","UFSCar","São Carlos","São Carlos","",6
"1º Encontro de Educação Musical de Rio Claro","Faculdades Claretianas","Faculdades Claretianas","Rio Claro","",7
"2º Congresso de Extensão Universitária da Unicam","Unicamp","Unicamp","Campinas","",8
"III Congresso Brasileiro de Educação Especial","UFSCar","São Carlos","São Carlos","",9
"XIV Seminario Latinoamericano de Educación Musical del FLADEM (Fórum Latino-americano de Educação Musical","FLADEM","Mérida- México","Mérida- México","",10
"IX Congresso Nacional de Psicologia Escolar e Educacional (CONPE)","Associação Brasileira de Psicologia Escolar e Educacional","Universidade Presbiteriana Mackenzie","São Paulo","",11
"17º. COLE (Congresso de Leitura do Brasil)","Associação Brasileira de Leitura","Universidade Estadual de Campinas","Campinas- SP","",12
"II Encontro de Educação Musical da Unicamp","Unicamp","Unicamp","Campinas- SP","",13
"II Encontro de Educação Musical","Unicamp","Unicamp","Campinas- SP","",14
"II Encontro de Educação Musical","Unicamp","Unicamp","Campinas- SP","",15
"I Semana da Música da Universidade Metodista de Piracicaba (UNIMEP)","Universidade Metodista de Piracicaba (UNIMEP)","Universidade Metodista de Piracicaba (UNIMEP)","Piracicaba","",16
"IV Semana da Música da UFSCar","Universidade Federal de São Carlos","Universidade Federal de São Carlos","São Carlos","",17
"XIX Encontro Anual da ABEM","UFES e FAMES","Centro de Convenções","Vitória- ES","",18
"III Encontro Nacional das Licenciaturas e II Seminário Nacional do Pibid","Universidade Federal do Maranhão","Universidade Federal do Maranhão","São Luis","",19
"Seminários de Integração Curricular I","Faculdade de Educação da Unicamp","Faculdade de Educação da Unicamp","Campinas- SP","",20
"Seminário de Integração II","Faculdade de Educação da Unicamp","Faculdade de Educação da Unicamp","Campinas- SP","",21
"3ª Semana da Música","UNIMEP","UNIMEP_ Campus Centro","Piracicaba","",22
"I Semana de Música","UNIMEP","Escola de Música Maestro Ernst Mahle","Piracicaba","",23
"8º Simpósio de Ensino de Graduação da Universidade Metodista de Piracicaba","","","","",24
"V Seminário Fala outra Escola","Faculdade da Educação/UNICAMP","","","",25
"II Seminário da Comissão de Estágio da FE/Unicamp","FE/Unicamp","","","",26
"XXI Congresso da ANPPOM","","","","",27
"9º Simpósio de Ensino de graduação da Unimep","","","","",28
"III Semana de Educação Musical","UNESP","","","",29
"Projeto de Extensão "Música e Comunidade" da UFSCar","UFSCar","","","",30
"VI Seminário Fala Outra Escola","","","","",31
"Congresso Anppom/Natal - UFRN","","","","",32
"XXI Congresso Anual da ABEM","","","","",33
"XXI Congresso de Iniciação Cientifica da Unicamp (PIBIC)","","","","",34
"31st International Society of Music Education World Conference","","","","",35
"II Congresso Nacional de Formação de Professores","","","","",36
"XII Simpósio Internacional de Cognição e Artes Musicais(SIMCAM 12)","UFRGS","","Porto Alegre","",37
"X Encontro de Educação Musical da Unicamp","Unicamp","Instituto de Artes - Unicamp","Campinas- SP","",38
"X Encontro de Educação Musical da Unicamp","Unicamp","Instituto de Artes - Unicamp","Campinas- SP","",39
"X Encontro de Educação Musical da Unicamp","Unicamp","Instituto de Artes - Unicamp","Campinas- SP","",40
"I Simpósio de Música","Faculdade Nazarena do Brasil","Faculdade Nazarena do Brasil","Campinas- SP","",41
