NOME-DO-EVENTO,CODIGO-INSTITUICAO,NOME-INSTITUICAO,LOCAL-DO-EVENTO,CIDADE-DO-EVENTO,NOME-DO-EVENTO-INGLES,PARTICIPACAO-EM-SIMPOSIO_Id
"VII Simpósio de Educação Musical Especial","","","","São Paulo","",0
"8º Simpósio de Ensino de Graduação da Universidade Metodista de Piracicaba","","","","Piracicaba- SP","",1
"Simpósio de Educação Musical Especial","","","","Indianápolis","",2
"9º Simpósio de Ensino de graduação da Unimep","","","","Piracicaba","",3
"1º Simpósio de Inovação Tecnológica Aplicada na Educação","","","","Campinas- SP","",4
"IV Simpósio do Grupo de Estudos e Pesquisas em Educação de Jovens e Adultos","","","","Campinas- SP","",5
"XII Simpósio Internacional de Cognição e Artes Musicais(SIMCAM 12)","","","","Porto Alegre","",6
