NATUREZA,TITULO-DO-ARTIGO,ANO-DO-ARTIGO,PAIS-DE-PUBLICACAO,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-DO-ARTIGO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,ARTIGO-PUBLICADO_Id
"COMPLETO","Paisagens sonoras e parangolés: uma proposta interdisciplinar entre alunos dos cursos de graduação em Artes Visuais e Dança","2014","","Português","IMPRESSO","","NAO","","","NAO",0
"COMPLETO","Considerações sobre o ensino e a aprendizagem significativa da escrita musical na musicalização de crianças","1998","","Português","IMPRESSO","","SIM","","","NAO",1
