TRABALHO-EM-EVENTOS_Id,SEQUENCIA-PRODUCAO,TRABALHOS-EM-EVENTOS_Id
0,"3",0
1,"4",0
2,"5",0
3,"6",0
4,"18",0
5,"20",0
6,"40",0
7,"41",0
8,"62",0
9,"63",0
10,"131",0
11,"225",0
12,"234",0
13,"239",0
14,"240",0
15,"241",0
16,"242",0
17,"324",0
18,"355",0
19,"356",0
20,"357",0
21,"358",0
22,"359",0
23,"360",0
24,"361",0
25,"363",0
26,"364",0
27,"365",0
28,"366",0
29,"367",0
30,"369",0
31,"370",0
32,"371",0
33,"372",0
34,"373",0
35,"374",0
36,"375",0
37,"478",0
38,"479",0
39,"480",0
40,"481",0
41,"482",0
42,"362",0
