PARTICIPACAO-EM-PROJETO_Id,SEQUENCIA-FUNCAO-ATIVIDADE,FLAG-PERIODO,MES-INICIO,ANO-INICIO,MES-FIM,ANO-FIM,CODIGO-ORGAO,NOME-ORGAO,CODIGO-UNIDADE,NOME-UNIDADE,ATIVIDADES-DE-PARTICIPACAO-EM-PROJETO_Id
0,"7","ATUAL","","2012","","","007901000008","Instituto de Artes","","",0
1,"8","ATUAL","","2009","","","007901000008","Instituto de Artes","","",0
2,"9","ANTERIOR","","2014","","2014","007901000008","Instituto de Artes","","",0
3,"11","ANTERIOR","","2014","","2014","007901000008","Instituto de Artes","","",0
4,"12","ANTERIOR","","2012","","2013","007901000008","Instituto de Artes","","",0
5,"13","ATUAL","","2013","","","007901000008","Instituto de Artes","","",0
6,"15","ATUAL","","2014","","","007901000008","Instituto de Artes","","",0
7,"16","ANTERIOR","","2015","","2016","007901000008","Instituto de Artes","","",0
8,"17","ANTERIOR","","2002","","2012","007940000005","Faculdade de Engenharia Elétrica e de Computação da UNICAMP","","",0
9,"40","ANTERIOR","","2015","","2015","007901000008","Instituto de Artes","","",0
10,"41","ANTERIOR","","2016","","2016","007901000008","Instituto de Artes","","",0
11,"10","ANTERIOR","","2013","","2015","007901000008","Instituto de Artes","","",0
12,"38","ATUAL","","2013","","","001711000008","Diretoria","001711013002","Núcleo de Pós-Graduação",1
13,"39","ATUAL","","2012","","","045001000993","CAPES","","",2
