PARTICIPACAO-EM-ENCONTRO_Id,SEQUENCIA-PRODUCAO,PARTICIPACAO-EM-EVENTOS-CONGRESSOS_Id
0,"263",0
1,"233",0
2,"99",0
3,"476",0
4,"136",0
5,"123",0
6,"264",0
7,"176",0
8,"270",0
9,"169",0
10,"265",0
11,"132",0
12,"292",0
13,"282",0
14,"43",0
15,"38",0
16,"127",0
17,"82",0
18,"273",0
19,"163",0
