TIPO,TITULO-DO-CAPITULO-DO-LIVRO,ANO,PAIS-DE-PUBLICACAO,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-DO-CAPITULO-DO-LIVRO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,CAPITULO-DE-LIVRO-PUBLICADO_Id
"Capítulo de livro publicado","O Subprojeto Música do PIBID Unicamp","2014","Brasil","Português","VARIOS","http://lemad.fflch.usp.br/sites/lemad.fflch.usp.br/files/Lemad_DH_USP_PIBID-UNICAMP-livro-volume-3.pdf","NAO","","","SIM",0
"Capítulo de livro publicado","Educação musical e cultura popular fomentando a construção da autonomia: experiência do PIBID Música da Unicamp na Escola Estadual José Maria Matosinho de Campinas.","2016","Brasil","Português","IMPRESSO","","NAO","","","NAO",1
"Capítulo de livro publicado","Um universo sonoro nos envolve","2001","Brasil","Português","IMPRESSO","","SIM","","","NAO",2
