NATUREZA,TITULO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,TIPO-PARTICIPACAO,FORMA-PARTICIPACAO,DOI,TITULO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,PARTICIPACAO-EM-SEMINARIO_Id
"Seminário","","2009","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","SIM",0
"Seminário","","2015","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",1
"Seminário","Conexão Do Saber: Uma experiência prática de aprendizagem colaborativa implantada na rede de escolas municipais de São José do Rio Preto","2008","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",2
"Seminário","Da formação à avaliação: análise de alguns percursos efetivados por professores de arte nos últimos anos","2016","Brasil","","NAO_INFORMADO","","NAO","Moderador","Convidado","","","SIM",3
"Seminário","","2012","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",4
"Seminário","","2012","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","SIM",5
"Seminário","","2009","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",6
"Seminário","","2009","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",7
"Seminário","","2010","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","SIM",8
"Seminário","O projeto Conexão do Saber","2010","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",9
"Seminário","","2009","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",10
"Seminário","","2014","Brasil","","NAO_INFORMADO","http://www.mav.unicamp.br/arteensina/index.html","NAO","","Ouvinte","","","SIM",11
"Seminário","","2010","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","SIM",12
"Seminário",""Convivendo na escola: experiências além do ensino musical"","2013","Brasil","","NAO_INFORMADO","","NAO","Outras formas","Participante","","","NAO",13
"Seminário","","2013","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","SIM",14
"Seminário","Estágio supervisionado e cotidiano escolar: uma integração necessária","2010","Brasil","","NAO_INFORMADO","","NAO","Outras Formas","Participante","","","NAO",15
"Seminário","O projeto Conexão do Saber","2008","Brasil","","NAO_INFORMADO","","NAO","Apresentação oral","Participante","","","SIM",16
"Seminário","Mesa-redonda sobre aulas virtuais para o ensino musical","2008","Brasil","","NAO_INFORMADO","","NAO","Apresentação oral","Participante","","","SIM",17
"Seminário","Roda entre ensino musical na escola e na universidade","2013","Brasil","","NAO_INFORMADO","https://www.fe.unicamp.br/falaoutraescola/inicio.html","NAO","Outras formas","Participante","","","SIM",18
"Seminário","O projeto Conexão do Saber da Unicamp e sua contribuição para um ensino dinâmico","2007","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",19
