PROGRAMA-DE-RADIO-OU-TV_Id,SEQUENCIA-PRODUCAO,DEMAIS-TIPOS-DE-PRODUCAO-TECNICA_Id
0,"189",0
1,"347",0
2,"348",0
3,"351",0
4,"36",0
5,"391",0
6,"392",0
7,"393",0
8,"394",0
9,"395",0
10,"396",0
11,"397",0
12,"398",0
13,"399",0
14,"96",0
