NOME_COMPLETO,NOME_PARA_CITACAO,FLAG_RESPONSAVEL,PROJETO_NOME
Rodrigo Lanna Franco da Silveira,"SILVEIRA, R. L. F.;SILVEIRA, RODRIGO LANNA FRANCO DA;DA SILVEIRA, RODRIGO LANNA FRANCO;SILVEIRA, RODRIGO L. F.;DA SILVEIRA, RODRIGO LANNA F.;SILVEIRA, RODRIGO LANNA F. DA",NAO,Análise do mapeamento e das políticas para arranjos produtivos locais no Brasil
Miguel Juan Bacic,"BACIC, M. J.",NAO,Análise do mapeamento e das políticas para arranjos produtivos locais no Brasil
Ana Lucia Gonçalves da Silva,"Silva, Ana Lucia Gonçalves",SIM,Análise do mapeamento e das políticas para arranjos produtivos locais no Brasil
Rodrigo Lanna Franco da Silveira,"SILVEIRA, R. L. F.;SILVEIRA, RODRIGO LANNA FRANCO DA;DA SILVEIRA, RODRIGO LANNA FRANCO;SILVEIRA, RODRIGO L. F.;DA SILVEIRA, RODRIGO LANNA F.;SILVEIRA, RODRIGO LANNA F. DA",SIM,Fatores determinantes ao uso de contratos futuros por parte dos cafeicultores do Brasil
JOSÉ CESAR CRUZ JÚNIOR,JOSÉ CESAR CRUZ JÚNIOR,NAO,Fatores determinantes ao uso de contratos futuros por parte dos cafeicultores do Brasil
Maria Sylvia Macchione Saes,"Saes, Maria Sylvia Macchione",NAO,Fatores determinantes ao uso de contratos futuros por parte dos cafeicultores do Brasil
Rodrigo Lanna Franco da Silveira,"SILVEIRA, R. L. F.;SILVEIRA, RODRIGO LANNA FRANCO DA;DA SILVEIRA, RODRIGO LANNA FRANCO;SILVEIRA, RODRIGO L. F.;DA SILVEIRA, RODRIGO LANNA F.;SILVEIRA, RODRIGO LANNA F. DA",NAO,Uma análise da relação entre crescimento econômico e desenvolvimento dos mercados financeiros e de capitais no Brasil
Rosangela Ballini,"BALLINI, R.",SIM,Uma análise da relação entre crescimento econômico e desenvolvimento dos mercados financeiros e de capitais no Brasil
Ana Rosa R. M. Sarti,"SARTI, A. R. R. M.",NAO,Uma análise da relação entre crescimento econômico e desenvolvimento dos mercados financeiros e de capitais no Brasil
Rodrigo Lanna Franco da Silveira,"SILVEIRA, R. L. F.;SILVEIRA, RODRIGO LANNA FRANCO DA;DA SILVEIRA, RODRIGO LANNA FRANCO;SILVEIRA, RODRIGO L. F.;DA SILVEIRA, RODRIGO LANNA F.;SILVEIRA, RODRIGO LANNA F. DA",SIM,Uma análise do comportamento dos preços e da volatilidade das commodities agrícolas no período recente
Fabio Mattos,"MATTOS, F.",NAO,Uma análise do comportamento dos preços e da volatilidade das commodities agrícolas no período recente
